Movie Rank,Movie Name,Year Released,User Rating,Genre,Director,Gross Amount(Millions),Actor1,Actor2,Actor3,Actor4
65,Aliens,1986,R,Action,James Cameron,85.16,Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser
66,Memento,2000,R,Mystery,Christopher Nolan,25.54,Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior
67,Your Name.,2016,PG,Animation,Makoto Shinkai,5.02,Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yûki
68,Capernaum,2018,R,Drama,Nadine Labaki,1.66,Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad
69,Braveheart,1995,R,Biography,Mel Gibson,75.6,Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen
70,Coco,2017,PG,Animation,Lee Unkrich,209.73,Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach
71,WALL·E,2008,G,Animation,Andrew Stanton,223.81,Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard
72,Amadeus,1984,R,Biography,Milos Forman,51.97,F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice
73,The Lives of Others,2006,R,Drama,Florian Henckel von Donnersmarck,11.29,Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur
74,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,Comedy,Stanley Kubrick,0.28,Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn
75,Sunset Blvd.,1950,Passed,Drama,Billy Wilder,NULL,William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson
76,Das Boot,1981,R,Drama,Wolfgang Petersen,11.49,Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch
77,3 Idiots,2009,PG-13,Comedy,Rajkumar Hirani,6.53,Aamir Khan, Madhavan, Mona Singh, Sharman Joshi
78,Paths of Glory,1957,Approved,Drama,Stanley Kubrick,NULL,Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready
79,Witness for the Prosecution,1957,Approved,Crime,Billy Wilder,8.18,Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester
80,The Great Dictator,1940,G,Comedy,Charles Chaplin,0.29,Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner
81,High and Low,1963,Not Rated,Crime,Akira Kurosawa,NULL,Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa
82,Guardians of the Galaxy Vol. 3,2023,PG-13,Action,James Gunn,NULL,Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff
83,Heat,1995,R,Action,Michael Mann,67.44,Al Pacino, Robert De Niro, Val Kilmer, Jon Voight
84,Top Gun: Maverick,2022,PG-13,Action,Joseph Kosinski,718.73,Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer
85,Good Will Hunting,1997,R,Drama,Gus Van Sant,138.43,Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård
86,Inglourious Basterds,2009,R,Adventure,Quentin Tarantino,120.54,Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent
87,Star Wars: Episode VI - Return of the Jedi,1983,PG,Action,Richard Marquand,309.13,Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams
88,Requiem for a Dream,2000,R,Drama,Darren Aronofsky,3.64,Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans
89,American Beauty,1999,R,Drama,Sam Mendes,130.1,Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley
90,Scarface,1983,R,Crime,Brian De Palma,45.6,Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio
91,Eternal Sunshine of the Spotless Mind,2004,R,Drama,Michel Gondry,34.4,Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne
92,A Clockwork Orange,1971,R,Crime,Stanley Kubrick,6.21,Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke
93,2001: A Space Odyssey,1968,G,Adventure,Stanley Kubrick,56.95,Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter
94,Full Metal Jacket,1987,R,Drama,Stanley Kubrick,46.36,Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin
95,Reservoir Dogs,1992,R,Crime,Quentin Tarantino,2.83,Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn
96,The Hunt,2012,R,Drama,Thomas Vinterberg,0.69,Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm
97,Hamilton,2020,PG-13,Biography,Thomas Kail,NULL,Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry
98,Once Upon a Time in America,1984,R,Crime,Sergio Leone,5.32,Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams
99,Toy Story,1995,G,Animation,John Lasseter,191.8,Tom Hanks, Tim Allen, Don Rickles, Jim Varney
100,Incendies,2010,R,Drama,Denis Villeneuve,6.86,Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel
101,Singin' in the Rain,1952,G,Comedy,Stanley Donen,8.82,Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen
102,Up,2009,PG,Animation,Pete Docter,293,Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer
103,To Kill a Mockingbird,1962,Approved,Crime,Robert Mulligan,NULL,Gregory Peck, John Megna, Frank Overton, Rosemary Murphy
104,Amélie,2001,R,Comedy,Jean-Pierre Jeunet,33.23,Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta
105,Vertigo,1958,PG,Mystery,Alfred Hitchcock,3.2,James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore
106,Lawrence of Arabia,1962,Approved,Adventure,David Lean,44.82,Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins
107,Citizen Kane,1941,PG,Drama,Orson Welles,1.59,Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead
108,Princess Mononoke,1997,PG-13,Animation,Hayao Miyazaki,2.38,Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup
109,Toy Story 3,2010,G,Animation,Lee Unkrich,415,Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty
110,Metropolis,1927,Not Rated,Drama,Fritz Lang,1.24,Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge
111,North by Northwest,1959,Approved,Action,Alfred Hitchcock,13.28,Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis
112,The Sting,1973,PG,Comedy,George Roy Hill,159.6,Paul Newman, Robert Redford, Robert Shaw, Charles Durning
113,A Separation,2011,PG-13,Drama,Asghar Farhadi,7.1,Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini
114,M,1931,Passed,Crime,Fritz Lang,0.03,Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke
115,Ikiru,1952,Not Rated,Drama,Akira Kurosawa,0.06,Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka
116,The Apartment,1960,Approved,Comedy,Billy Wilder,18.6,Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston
117,Double Indemnity,1944,Passed,Crime,Billy Wilder,5.72,Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr
118,Judgment at Nuremberg,1961,Approved,Drama,Stanley Kramer,NULL,Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich
119,Like Stars on Earth,2007,PG,Drama,Aamir Khan,1.22,Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer
120,Bicycle Thieves,1948,Not Rated,Drama,Vittorio De Sica,0.33,Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri
121,Dangal,2016,Not Rated,Action,Nitesh Tiwari,12.39,Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra
122,The Kid,1921,Passed,Comedy,Charles Chaplin,5.45,Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller
123,John Wick: Chapter 4,2023,R,Action,Chad Stahelski,NULL,Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick
124,Spider-Man: No Way Home,2021,PG-13,Action,Jon Watts,804.75,Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon
125,The Wolf of Wall Street,2013,R,Biography,Martin Scorsese,116.9,Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey
126,1917,2019,R,Action,Sam Mendes,159.23,Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth
